PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2010,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2011,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2012,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2013,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2014,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2015,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2016,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2017,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2018,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2019,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2020,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2021,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2022,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2023,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2024,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2025,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2026,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2027,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2028,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2029,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2030,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2031,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2032,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2033,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2034,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BGS,,,,2035,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2010,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2011,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2012,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2013,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2014,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2015,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2016,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2017,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2018,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2019,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2020,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2021,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2022,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2023,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2024,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2025,,,,,,99.0
TotalTechnologyAnnualActivityUpperLimit,BAU1NDC,ECU,DIST_BIM,,,,2026,,,,,,99.0
