PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDCCON,ECU,DIST_DSL,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_GSL,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_NGS,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_LPG,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_COK,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_KER,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_JET,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_FIR,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_CHA,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_BIM,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_BGS,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_CRU,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_RDF,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_OID,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_OPE,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,EXTT_CRU,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_COA,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,DIST_FOI,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,PPHDAMAB,,,,,,,,,,31.54
OperationalLife,NDCCON,ECU,PPHDAMAM,,,,,,,,,,31.54
OperationalLife,NDCCON,ECU,PPHDAMAS,,,,,,,,,,31.54
OperationalLife,NDCCON,ECU,PPHDAMPM,,,,,,,,,,31.54
OperationalLife,NDCCON,ECU,PPHDAMPS,,,,,,,,,,31.54
OperationalLife,NDCCON,ECU,PPHRORAB,,,,,,,,,,31.54
OperationalLife,NDCCON,ECU,PPHRORAM,,,,,,,,,,31.54
OperationalLife,NDCCON,ECU,PPHRORAS,,,,,,,,,,31.54
OperationalLife,NDCCON,ECU,PPHRORPM,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPHRORPS,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPGEO,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPWNDON,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPWNDONS,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPWNDOFF,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPPVT,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPPVTS,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPPVD,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPPVDS,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,ELE_TRANS,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,ELE_DIST,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,HYD_G_PROD,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,HYD_DIST,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,STOELE,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,PPBIM,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPBGS,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPNGS,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPDSL,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPFOI,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PROCRU,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPCRU,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPRNGS,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPRDSL,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPDFOI,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPDDSL,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPILPG,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPIBIM,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPIHD,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,PPWNDD,,,,,,,,,,31.536
OperationalLife,NDCCON,ECU,REF_DSL,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,REF_GSL,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,REF_LPG,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,REF_FOI,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,REF_JET,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,REF_OPE,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,T5DSLCOM,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,T5GSLCOM,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,T5LPGCOM,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,T5ELECOM,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,T5FIRCOM,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,T5CHACOM,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,T5OPECOM,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,T5DSLRES,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,T5GSLRES,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,T5LPGRES,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,T5ELERES,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,T5KERRES,,,,,,,,,,1.0
OperationalLife,NDCCON,ECU,T5FIRRES,,,,,,,,,,1.0
