Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU1NDC,0,,DIST_DSL,,2010,,103.48,103.48,103.48,103.48,,,103.48,103.48,,,206.959,201.972,103.48,103.48,305.451,,,,,,,,,,,,,216.3601,216.3601,216.3601,432.7181,,0.001437309359102118,0.001437309359102118,0.001437309359102118,0.002874604828473282,
BAU1NDC,0,,DIST_DSL,,2011,,88.9641,88.9641,88.9641,88.9641,,,88.9641,84.7277,,,177.928,165.372,88.9641,88.9641,250.099,,,,,,,,,,,,,177.0846,177.0846,177.0846,354.1688,,0.0011996965180091712,0.0011996965180091712,0.0011996965180091712,0.0023993903389832056,
BAU1NDC,0,,DIST_DSL,,2012,,101.707,101.707,101.707,101.707,,,101.707,92.2511,,,203.414,180.056,101.707,101.707,272.307,,,,,,,,,,,,,192.7357,192.7357,192.7357,385.4714,,0.0013315890905089835,0.0013315890905089835,0.0013315890905089835,0.002663178181017967,
BAU1NDC,0,,DIST_DSL,,2013,,122.238,122.238,122.238,122.238,,,122.238,105.594,,,244.476,206.098,122.238,122.238,311.692,,,,,,,,,,,,,220.5275,220.5275,220.5275,441.055,,0.0015537759498337853,0.0015537759498337853,0.0015537759498337853,0.0031075518996675705,
BAU1NDC,0,,DIST_DSL,,2014,,137.753,137.753,137.753,137.753,,,137.753,113.33,,,275.507,221.198,137.753,137.753,334.528,,,,,,,,,,,,,236.5936,236.5936,236.5936,473.1888,,0.0016999885661336256,0.0016999885661336256,0.0016999885661336256,0.003399989473113303,
BAU1NDC,0,,DIST_DSL,,2015,,142.343,142.343,142.343,142.343,,,142.343,111.529,,,284.685,217.683,142.343,142.343,329.212,,,,,,,,,,,,,232.7465,232.7465,232.7465,465.4915,,0.0017054689801068498,0.0017054689801068498,0.0017054689801068498,0.0034109259788097663,
BAU1NDC,0,,DIST_DSL,,2016,,121.012,121.012,121.012,121.012,,,121.012,90.3013,,,242.025,176.25,121.012,121.012,266.551,,,,,,,,,,,,,188.374,188.374,188.374,376.7495,,0.0014076637405837501,0.0014076637405837501,0.0014076637405837501,0.002815339113598504,
BAU1NDC,0,,DIST_DSL,,2017,,128.519,128.519,128.519,128.519,,,128.519,91.3363,,,257.039,178.27,128.519,128.519,269.606,,,,,,,,,,,,,190.4606,190.4606,190.4606,380.9226,,0.001451445048666304,0.001451445048666304,0.001451445048666304,0.002902901390954941,
BAU1NDC,0,,DIST_DSL,,2018,,145.448,145.448,145.448,145.448,,,145.448,98.4447,,,290.895,192.144,145.448,145.448,290.589,,,,,,,,,,,,,205.2063,205.2063,205.2063,410.4112,,0.0015947910496586814,0.0015947910496586814,0.0015947910496586814,0.003189571134635485,
BAU1NDC,0,,DIST_DSL,,2019,,162.044,162.044,162.044,162.044,,,162.044,104.455,,,324.087,203.875,162.044,162.044,308.33,,,,,,,,,,,,,217.6513,217.6513,217.6513,435.3012,,0.0017250105923211961,0.0017250105923211961,0.0017250105923211961,0.0034500105393201813,
BAU1NDC,0,,DIST_DSL,,2020,,154.923,154.923,154.923,154.923,,,154.923,95.1091,,,309.846,185.634,154.923,154.923,280.743,,,,,,,,,,,,,198.1023,198.1023,198.1023,396.2046,,0.0016011701484061542,0.0016011701484061542,0.0016011701484061542,0.0032023402968123084,
BAU1NDC,0,,DIST_DSL,,2021,,179.964,179.964,179.964,179.964,,,179.964,105.221,,,359.928,205.371,179.964,179.964,310.592,,,,,,,,,,,,,219.0809,219.0809,219.0809,438.1618,,0.0018058014575719709,0.0018058014575719709,0.0018058014575719709,0.0036116029151439417,
BAU1NDC,0,,DIST_DSL,,2022,,193.995,193.995,193.995,193.995,,,193.995,108.023,,,387.989,210.84,193.995,193.995,318.864,,,,,,,,,,,,,224.8302,224.8302,224.8302,449.6593,,0.0018898949895786844,0.0018898949895786844,0.0018898949895786844,0.003779780237179536,
BAU1NDC,0,,DIST_DSL,,2023,,222.882,222.882,222.882,222.882,,,222.882,118.199,,,445.764,230.701,222.882,222.882,348.9,,,,,,,,,,,,,245.9147,245.9147,245.9147,491.8293,,0.0021080694206025044,0.0021080694206025044,0.0021080694206025044,0.004216138841205009,
BAU1NDC,0,,DIST_DSL,,2024,,217.487,217.487,217.487,217.487,,,217.487,109.846,,,434.974,214.397,217.487,217.487,324.243,,,,,,,,,,,,,228.4483,228.4483,228.4483,456.8967,,0.0019971284124943684,0.0019971284124943684,0.0019971284124943684,0.003994256824988737,
BAU1NDC,0,,DIST_DSL,,2025,,228.298,228.298,228.298,228.298,,,228.298,109.815,,,456.595,214.337,228.298,228.298,324.152,,,,,,,,,,,,,228.298,228.298,228.298,456.595,,0.0020353428213637646,0.0020353428213637646,0.0020353428213637646,0.00407067672743777,
BAU1NDC,0,,DIST_DSL,,2026,,226.607,226.607,226.607,226.607,,,226.607,103.811,,,453.214,202.619,226.607,226.607,306.43,,,,,,,,,,,,,215.734,215.734,215.734,431.468,,0.0019614243362927816,0.0019614243362927816,0.0019614243362927816,0.003922848672585563,
BAU1NDC,0,,DIST_DSL,,2027,,238.211,238.211,238.211,238.211,,,238.211,103.931,,,476.423,202.852,238.211,238.211,306.783,,,,,,,,,,,,,215.8999,215.8999,215.8999,431.8007,,0.002001809867794467,0.002001809867794467,0.002001809867794467,0.004003628139104589,
BAU1NDC,0,,DIST_DSL,,2028,,238.214,238.214,238.214,238.214,,,238.214,98.9828,,,476.428,193.195,238.214,238.214,292.177,,,,,,,,,,,,,205.5432,205.5432,205.5432,411.0864,,0.0019435292022732362,0.0019435292022732362,0.0019435292022732362,0.0038870584045464724,
BAU1NDC,0,,DIST_DSL,,2029,,247.737,247.737,247.737,247.737,,,247.737,98.0378,,,495.474,191.35,247.737,247.737,289.388,,,,,,,,,,,,,203.5036,203.5036,203.5036,407.0071,,0.001962354376404983,0.001962354376404983,0.001962354376404983,0.003924708752809966,
BAU1NDC,0,,DIST_DSL,,2030,,247.42,247.42,247.42,247.42,,,247.42,93.2499,,,494.84,182.005,247.42,247.42,275.255,,,,,,,,,,,,,193.4912,193.4912,193.4912,386.9824,,0.0019027605645923241,0.0019027605645923241,0.0019027605645923241,0.0038055211291846483,
BAU1NDC,0,,DIST_DSL,,2031,,258.68,258.68,258.68,258.68,,,258.68,92.8511,,,517.359,181.227,258.68,258.68,274.078,,,,,,,,,,,,,192.5904,192.5904,192.5904,385.18,,0.00193141218481032,0.00193141218481032,0.00193141218481032,0.0038628169032058233,
BAU1NDC,0,,DIST_DSL,,2032,,259.357,259.357,259.357,259.357,,,259.357,88.6612,,,518.714,173.049,259.357,259.357,261.71,,,,,,,,,,,,,183.8294,183.8294,183.8294,367.6588,,0.001880064997709995,0.001880064997709995,0.001880064997709995,0.00376012999541999,
BAU1NDC,0,,DIST_DSL,,2033,,269.814,269.814,269.814,269.814,,,269.814,87.8437,,,539.628,171.453,269.814,269.814,259.297,,,,,,,,,,,,,182.0651,182.0651,182.0651,364.1303,,0.0018989002237539752,0.0018989002237539752,0.0018989002237539752,0.0037978004475079504,
BAU1NDC,0,,DIST_DSL,,2034,,271.074,271.074,271.074,271.074,,,271.074,84.0514,,,542.148,164.052,271.074,271.074,248.103,,,,,,,,,,,,,174.1388,174.1388,174.1388,348.2775,,0.0018522018125751104,0.0018522018125751104,0.0018522018125751104,0.003704403625150221,
BAU1NDC,0,,DIST_DSL,,2035,,280.068,280.068,280.068,280.068,,,280.068,82.7047,,,560.135,161.423,280.068,280.068,244.128,,,,,,,,,,,,,171.2838,171.2838,171.2838,342.567,,0.0018579186998208205,0.0018579186998208205,0.0018579186998208205,0.003715830765828782,
BAU1NDC,0,,DIST_GSL,,2010,,48.402,48.402,48.402,48.402,,,48.402,48.402,,,96.8041,94.4711,48.402,48.402,142.873,,,,,,,,,,,,,101.2008,101.2008,101.2008,202.4018,,0.0006722907576271812,0.0006722907576271812,0.0006722907576271812,0.0013445829042274579,
BAU1NDC,0,,DIST_GSL,,2011,,56.9151,56.9151,56.9151,56.9151,,,56.9151,54.2049,,,113.83,105.797,56.9151,56.9151,160.002,,,,,,,,,,,,,113.2905,113.2905,113.2905,226.5806,,0.0007675101225341883,0.0007675101225341883,0.0007675101225341883,0.00153501754803324,
BAU1NDC,0,,DIST_GSL,,2012,,66.0588,66.0588,66.0588,66.0588,,,66.0588,59.9173,,,132.118,116.947,66.0588,66.0588,176.864,,,,,,,,,,,,,125.182,125.182,125.182,250.3648,,0.000864868469349355,0.000864868469349355,0.000864868469349355,0.0017297421756601403,
BAU1NDC,0,,DIST_GSL,,2013,,79.173,79.173,79.173,79.173,,,79.173,68.3926,,,158.346,133.489,79.173,79.173,201.881,,,,,,,,,,,,,142.8347,142.8347,142.8347,285.6694,,0.0010063736585692689,0.0010063736585692689,0.0010063736585692689,0.0020127473171385377,
BAU1NDC,0,,DIST_GSL,,2014,,99.2135,99.2135,99.2135,99.2135,,,99.2135,81.6232,,,198.427,159.312,99.2135,99.2135,240.935,,,,,,,,,,,,,170.4012,170.4012,170.4012,340.8024,,0.0012243785297314648,0.0012243785297314648,0.0012243785297314648,0.0024487570594629296,
BAU1NDC,0,,DIST_GSL,,2015,,105.335,105.335,105.335,105.335,,,105.335,82.5328,,,210.67,161.088,105.335,105.335,243.62,,,,,,,,,,,,,172.2344,172.2344,172.2344,344.4687,,0.0012620611833357104,0.0012620611833357104,0.0012620611833357104,0.002524122366671421,
BAU1NDC,0,,DIST_GSL,,2016,,79.8702,79.8702,79.8702,79.8702,,,79.8702,59.6003,,,159.74,116.328,79.8702,79.8702,175.928,,,,,,,,,,,,,124.3304,124.3304,124.3304,248.6601,,0.0009290845907279628,0.0009290845907279628,0.0009290845907279628,0.0018581645284835246,
BAU1NDC,0,,DIST_GSL,,2017,,90.3977,90.3977,90.3977,90.3977,,,90.3977,64.2439,,,180.795,125.391,90.3977,90.3977,189.635,,,,,,,,,,,,,133.9662,133.9662,133.9662,267.9317,,0.001020917483608042,0.001020917483608042,0.001020917483608042,0.0020418304497671503,
BAU1NDC,0,,DIST_GSL,,2018,,94.7691,94.7691,94.7691,94.7691,,,94.7691,64.1435,,,189.538,125.195,94.7691,94.7691,189.339,,,,,,,,,,,,,133.7056,133.7056,133.7056,267.411,,0.0010391130332779311,0.0010391130332779311,0.0010391130332779311,0.002078223873619487,
BAU1NDC,0,,DIST_GSL,,2019,,99.8534,99.8534,99.8534,99.8534,,,99.8534,64.3664,,,199.707,125.63,99.8534,99.8534,189.997,,,,,,,,,,,,,134.1193,134.1193,134.1193,268.2388,,0.0010629716168403971,0.0010629716168403971,0.0010629716168403971,0.0021259453627452364,
