PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,NDCcond,ECU,RAW_MAT_CLK,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,RAW_MAT_CEM,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,IMP_STOR,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,IMP_REFR_AC,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,IMP_HFC23,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,IMP_HFC32,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,IMP_HFC125,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,IMP_HFC134a,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,IMP_HFC143a,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,IMP_HFC152a,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,IMP_HFC227ea,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,OTHER_IPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,LIME_PROD,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,GLASS_PROD,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,CERAMICS,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,SODA_ASH,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,IRON_STEEL,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,LEAD_PROD,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,LUBRI,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,PARAFFIN,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,PROD_CLK_TRAD,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,PROD_CEM,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5CEM_PRODIND,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5REFR_ACIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5HFC23IPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5HFC32IPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5HFC125IPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5HFC134aIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5HFC143aIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5HFC152aIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5HFC227eaIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5OTHER_IPPUIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5LIME_PRODIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5GLASS_PRODIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5CERAMICSIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5SODA_ASHIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5IRON_STEELIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5LEAD_PRODIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5LUBRIIPPU,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5PARAFFINIPPU,,,,,,,,,,1
