PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2010,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2011,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2012,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2013,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2014,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2015,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2016,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2017,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDCincond,ECU,IMP_REFR_AC,,,,2031,,,,,,0.0
