Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2024,FixedOpex2024,VarOpex2024,Opex2024,Externalities2024,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,RAW_MAT_CLK,,2010,,3.32899,3.32899,3.32899,3.32899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2011,,3.3448,3.3448,3.3448,3.3448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2012,,3.35989,3.35989,3.35989,3.35989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2013,,3.48254,3.48254,3.48254,3.48254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2014,,3.60476,3.60476,3.60476,3.60476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2015,,3.49227,3.49227,3.49227,3.49227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2016,,3.37954,3.37954,3.37954,3.37954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2017,,3.6518,3.6518,3.6518,3.6518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2018,,3.92338,3.92338,3.92338,3.92338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2019,,3.30315,3.30315,3.30315,3.30315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2020,,2.68243,2.68243,2.68243,2.68243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2021,,3.85225,3.85225,3.85225,3.85225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2022,,3.55622,3.55622,3.55622,3.55622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2023,,3.74421,3.74421,3.74421,3.74421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2024,,3.93221,3.93221,3.93221,3.93221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2025,,4.12025,4.12025,4.12025,4.12025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2026,,4.31534,4.31534,4.31534,4.31534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2027,,4.5041,4.5041,4.5041,4.5041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2028,,4.68637,4.68637,4.68637,4.68637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2029,,4.86185,4.86185,4.86185,4.86185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2030,,5.03098,5.03098,5.03098,5.03098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2031,,5.28619,5.28619,5.28619,5.28619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2032,,5.54106,5.54106,5.54106,5.54106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2033,,5.79567,5.79567,5.79567,5.79567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2034,,6.05042,6.05042,6.05042,6.05042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CLK,,2035,,6.30557,6.30557,6.30557,6.30557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,RAW_MAT_CEM,,2010,,1.94591,1.94591,1.94591,1.94591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
