Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2024,FixedOpex2024,VarOpex2024,Opex2024,Externalities2024,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
NDCincond,0,,RAW_MAT_CLK,,2010,,3.32899,3.32899,3.32899,3.32899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2011,,3.32837,3.32837,3.32837,3.32837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2012,,3.32776,3.32776,3.32776,3.32776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2013,,3.43397,3.43397,3.43397,3.43397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2014,,3.53987,3.53987,3.53987,3.53987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2015,,3.41132,3.41132,3.41132,3.41132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2016,,3.28185,3.28185,3.28185,3.28185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2017,,3.53806,3.53806,3.53806,3.53806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2018,,3.79395,3.79395,3.79395,3.79395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2019,,3.15698,3.15698,3.15698,3.15698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2020,,2.52037,2.52037,2.52037,2.52037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2021,,3.67404,3.67404,3.67404,3.67404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2022,,3.36162,3.36162,3.36162,3.36162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2023,,3.50534,3.50534,3.50534,3.50534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2024,,3.64573,3.64573,3.64573,3.64573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2025,,3.78341,3.78341,3.78341,3.78341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2026,,3.91878,3.91878,3.91878,3.91878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2027,,4.05082,4.05082,4.05082,4.05082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2028,,4.18015,4.18015,4.18015,4.18015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2029,,4.30731,4.30731,4.30731,4.30731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2030,,4.43102,4.43102,4.43102,4.43102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2031,,4.59184,4.59184,4.59184,4.59184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2032,,4.75266,4.75266,4.75266,4.75266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2033,,4.91341,4.91341,4.91341,4.91341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2034,,5.07423,5.07423,5.07423,5.07423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CLK,,2035,,5.23498,5.23498,5.23498,5.23498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CEM,,2010,,1.94591,1.94591,1.94591,1.94591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDCincond,0,,RAW_MAT_CEM,,2011,,2.33983,2.33983,2.33983,2.33983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
