PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,NDCINC,ECU,IMP_ELE,,,,,,,,,,1.0
CapacityToActivityUnit,NDCINC,ECU,SOIALL,,,,,,,,,,1.0
CapacityToActivityUnit,NDCINC,ECU,FORBUR,,,,,,,,,,1.0
CapacityToActivityUnit,NDCINC,ECU,SUPCAMCROAND,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMCROPLU,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMCROMON,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMCROPIE,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMCROCEJ,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMCROAMA,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMCROCHO,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMCROMAN,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMCROMOR,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMCROPFO,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMGRAAND,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMGRAPLU,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMGRAMON,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMGRAPIE,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMGRACEJ,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMGRAAMA,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMGRACHO,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMGRAMAN,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMGRAMOR,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMGRAPFO,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMHUMAND,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMHUMPLU,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMHUMMON,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMHUMPIE,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMHUMCEJ,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMHUMAMA,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMHUMCHO,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMHUMMAN,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMHUMMOR,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMHUMPFO,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMOTIAND,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMOTIPLU,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMOTIMON,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMOTIPIE,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMOTICEJ,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMOTIAMA,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMOTICHO,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMOTIMAN,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMOTIMOR,,,,,,,,,,
CapacityToActivityUnit,NDCINC,ECU,SUPCAMOTIPFO,,,,,,,,,,
