PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDC,ECU,IMP_ELE,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SOIALL,,,,,,,,,,1.0
OperationalLife,NDC,ECU,FORBUR,,,,,,,,,,1.0
OperationalLife,NDC,ECU,T4ELE_HEA,,,,,,,,,,1.0
OperationalLife,NDC,ECU,TRXTRAIELE,,,,,,,,,,1.0
OperationalLife,NDC,ECU,Techs_Rail,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMEDRESTMAN,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMEDABMOR,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMEDABCHO,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMEDABPIE2,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMEDDEFMOR,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMEDDEFCHO,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMEDDEFPIE2,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMED5DEFPLU,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMED5DEFPIE,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMED5DEFAMA,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMED5DEFMAN,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMED5ABPLU,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMED5ABPIE,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMED5ABAMA,,,,,,,,,,1.0
OperationalLife,NDC,ECU,SUPMED5ABMAN,,,,,,,,,,1.0
