PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,NDC,,,,,,2010,All,,,,,1
YearSplit,NDC,,,,,,2011,All,,,,,1
YearSplit,NDC,,,,,,2012,All,,,,,1
YearSplit,NDC,,,,,,2013,All,,,,,1
YearSplit,NDC,,,,,,2014,All,,,,,1
YearSplit,NDC,,,,,,2015,All,,,,,1
YearSplit,NDC,,,,,,2016,All,,,,,1
YearSplit,NDC,,,,,,2017,All,,,,,1
YearSplit,NDC,,,,,,2018,All,,,,,1
YearSplit,NDC,,,,,,2019,All,,,,,1
YearSplit,NDC,,,,,,2020,All,,,,,1
YearSplit,NDC,,,,,,2021,All,,,,,1
YearSplit,NDC,,,,,,2022,All,,,,,1
YearSplit,NDC,,,,,,2023,All,,,,,1
YearSplit,NDC,,,,,,2024,All,,,,,1
YearSplit,NDC,,,,,,2025,All,,,,,1
YearSplit,NDC,,,,,,2026,All,,,,,1
YearSplit,NDC,,,,,,2027,All,,,,,1
YearSplit,NDC,,,,,,2028,All,,,,,1
YearSplit,NDC,,,,,,2029,All,,,,,1
YearSplit,NDC,,,,,,2030,All,,,,,1
YearSplit,NDC,,,,,,2031,All,,,,,1
YearSplit,NDC,,,,,,2032,All,,,,,1
YearSplit,NDC,,,,,,2033,All,,,,,1
YearSplit,NDC,,,,,,2034,All,,,,,1
YearSplit,NDC,,,,,,2035,All,,,,,1
