PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2010,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2011,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2012,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2013,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2014,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2015,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2016,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2017,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2018,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2019,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2020,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2021,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2022,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2023,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2024,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2025,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2026,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2027,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2028,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,NDC,ECU,IMP_ELE,,,,2029,,,,,,99999.0
