PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,NDCCON,ECU,IMP_ELE,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SOIALL,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,FORBUR,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,T4ELE_HEA,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,TRXTRAIELE,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,Techs_Rail,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMEDREST,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMEDABAMA,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMEDABPIE,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMEDABMON,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMEDDEFAMA,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMEDDEFPIE,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMEDDEFMON,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMED5DEFAND,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMED5DEFMON,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMED5DEFCEJ,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMED5DEFCHO,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMED5ABAND,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMED5ABMON,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMED5ABCEJ,,,,,,,,,,1.0
CapacityToActivityUnit,NDCCON,ECU,SUPMED5ABCHO,,,,,,,,,,1.0
