PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDCINC,ECU,IMP_ELE,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SOIALL,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,FORBUR,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,T4ELE_HEA,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,TRXTRAIELE,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,Techs_Rail,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMEDRESTMAN,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMEDABMOR,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMEDABCHO,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMEDABPIE2,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMEDDEFMOR,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMEDDEFCHO,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMEDDEFPIE2,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMED5DEFPLU,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMED5DEFPIE,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMED5DEFAMA,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMED5DEFMAN,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMED5ABPLU,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMED5ABPIE,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMED5ABAMA,,,,,,,,,,1.0
OperationalLife,NDCINC,ECU,SUPMED5ABMAN,,,,,,,,,,1.0
