Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,SOIALL,,2010,,5077.07,5077.07,5077.07,5077.07,,,5077.07,5077.07,,,10154.1,9909.42,5077.07,5077.07,14986.5,,,,,,,,,,,,,10615.3385,10615.3385,10615.3385,21230.5934,,0.07051913633375134,0.07051913633375134,0.07051913633375134,0.14103771707826454,
BAU,0,,SOIALL,,2011,,5270.6,5270.6,5270.6,5270.6,,,5270.6,5019.62,,,10541.2,9797.29,5270.6,5270.6,14816.9,,,,,,,,,,,,,10491.2211,10491.2211,10491.2211,20982.4423,,0.07107496695654919,0.07107496695654919,0.07107496695654919,0.14214993391309838,
BAU,0,,SOIALL,,2012,,5464.13,5464.13,5464.13,5464.13,,,5464.13,4956.12,,,10928.3,9673.36,5464.13,5464.13,14629.5,,,,,,,,,,,,,10354.5754,10354.5754,10354.5754,20709.2265,,0.07153859515198416,0.07153859515198416,0.07153859515198416,0.14307771400011135,
BAU,0,,SOIALL,,2013,,5591.54,5591.54,5591.54,5591.54,,,5591.54,4830.19,,,11183.1,9427.56,5591.54,5591.54,14257.7,,,,,,,,,,,,,10087.6033,10087.6033,10087.6033,20175.2426,,0.07107446436078473,0.07107446436078473,0.07107446436078473,0.14214918294299814,
BAU,0,,SOIALL,,2014,,5718.96,5718.96,5718.96,5718.96,,,5718.96,4705,,,11437.9,9183.23,5718.96,5718.96,13888.2,,,,,,,,,,,,,9822.4291,9822.4291,9822.4291,19644.8239,,0.07057680493474233,0.07057680493474233,0.07057680493474233,0.14115336305256362,
BAU,0,,SOIALL,,2015,,5791.61,5791.61,5791.61,5791.61,,,5791.61,4537.88,,,11583.2,8857.03,5791.61,5791.61,13394.9,,,,,,,,,,,,,9469.9228,9469.9228,9469.9228,18939.813,,0.06939161883532477,0.06939161883532477,0.06939161883532477,0.13878299804257088,
BAU,0,,SOIALL,,2016,,5864.26,5864.26,5864.26,5864.26,,,5864.26,4376,,,11728.5,8541.08,5864.26,5864.26,12917.1,,,,,,,,,,,,,9128.6306,9128.6306,9128.6306,18257.2301,,0.06821559983601348,0.06821559983601348,0.06821559983601348,0.13643096702340687,
BAU,0,,SOIALL,,2017,,5961.09,5961.09,5961.09,5961.09,,,5961.09,4236.43,,,11922.2,8268.67,5961.09,5961.09,12505.1,,,,,,,,,,,,,8834.1218,8834.1218,8834.1218,17668.2733,,0.06732229915541062,0.06732229915541062,0.06732229915541062,0.13464482418326792,
BAU,0,,SOIALL,,2018,,6057.92,6057.92,6057.92,6057.92,,,6057.92,4100.24,,,12115.8,8002.84,6057.92,6057.92,12103.1,,,,,,,,,,,,,8546.8587,8546.8587,8546.8587,17093.661,,0.06642316563684834,0.06642316563684834,0.06642316563684834,0.1328458926864216,
BAU,0,,SOIALL,,2019,,6057.96,6057.96,6057.96,6057.96,,,6057.96,3905.01,,,12115.9,7621.81,6057.96,6057.96,11526.8,,,,,,,,,,,,,8136.8195,8136.8195,8136.8195,16273.6121,,0.06448893613992565,0.06448893613992565,0.06448893613992565,0.12897765937340708,
BAU,0,,SOIALL,,2020,,6057.93,6057.93,6057.93,6057.93,,,6057.93,3719.04,,,12115.9,7258.83,6057.93,6057.93,10977.9,,,,,,,,,,,,,7746.3625,7746.3625,7746.3625,15492.7761,,0.06261030755364984,0.06261030755364984,0.06261030755364984,0.12522102851787095,
