PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,NDCcond,ECU,INORG_RCY_OS,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,AD,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,COMPOST,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,LANDFILL,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,NO_CONTR_OD,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,COPROC,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,INCIN,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,OPEN_BURN,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,SIT_CLAN,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,LANDFILL_ELEC,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,DWW_DC,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,DWW_N,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,IWW,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,OSS_INORG,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,OSS_ORG,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,NO_OSS_BLEND,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,NO_OSS_NO_COLL,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,INORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,ORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,BLEND_NO_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,BLEND_NO_COLL,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,INORG_SS,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,ORG_SS,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,NO_SS,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5TSWTSW,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5LANDFILL_ELECTSW,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5DWW_DCWW,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5DWW_NWW,,,,,,,,,,1
CapacityToActivityUnit,NDCcond,ECU,T5IWWWW,,,,,,,,,,1
