PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDCincond,ECU,INORG_RCY_OS,,,,,,,,,,1
OperationalLife,NDCincond,ECU,AD,,,,,,,,,,1
OperationalLife,NDCincond,ECU,COMPOST,,,,,,,,,,1
OperationalLife,NDCincond,ECU,LANDFILL,,,,,,,,,,1
OperationalLife,NDCincond,ECU,NO_CONTR_OD,,,,,,,,,,1
OperationalLife,NDCincond,ECU,COPROC,,,,,,,,,,1
OperationalLife,NDCincond,ECU,INCIN,,,,,,,,,,1
OperationalLife,NDCincond,ECU,OPEN_BURN,,,,,,,,,,1
OperationalLife,NDCincond,ECU,SIT_CLAN,,,,,,,,,,1
OperationalLife,NDCincond,ECU,LANDFILL_ELEC,,,,,,,,,,1
OperationalLife,NDCincond,ECU,DWW_DC,,,,,,,,,,100
OperationalLife,NDCincond,ECU,DWW_N,,,,,,,,,,100
OperationalLife,NDCincond,ECU,IWW,,,,,,,,,,100
OperationalLife,NDCincond,ECU,OSS_INORG,,,,,,,,,,1
OperationalLife,NDCincond,ECU,OSS_ORG,,,,,,,,,,1
OperationalLife,NDCincond,ECU,NO_OSS_BLEND,,,,,,,,,,1
OperationalLife,NDCincond,ECU,NO_OSS_NO_COLL,,,,,,,,,,1
OperationalLife,NDCincond,ECU,INORG_DCOLL,,,,,,,,,,1
OperationalLife,NDCincond,ECU,ORG_DCOLL,,,,,,,,,,1
OperationalLife,NDCincond,ECU,BLEND_NO_DCOLL,,,,,,,,,,1
OperationalLife,NDCincond,ECU,BLEND_NO_COLL,,,,,,,,,,1
OperationalLife,NDCincond,ECU,INORG_SS,,,,,,,,,,1
OperationalLife,NDCincond,ECU,ORG_SS,,,,,,,,,,1
OperationalLife,NDCincond,ECU,NO_SS,,,,,,,,,,1
OperationalLife,NDCincond,ECU,T5TSWTSW,,,,,,,,,,1
OperationalLife,NDCincond,ECU,T5LANDFILL_ELECTSW,,,,,,,,,,1
OperationalLife,NDCincond,ECU,T5DWW_DCWW,,,,,,,,,,100
OperationalLife,NDCincond,ECU,T5DWW_NWW,,,,,,,,,,100
OperationalLife,NDCincond,ECU,T5IWWWW,,,,,,,,,,100
