PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2010,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2011,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2012,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2013,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2014,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2015,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2016,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2017,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2018,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2019,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2020,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2021,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2022,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2023,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2024,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2025,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2026,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2027,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2028,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2029,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2030,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2031,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2032,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2033,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2034,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,AD,,,,2035,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2010,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2011,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2012,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2013,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2014,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2015,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2016,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2017,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,COPROC,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2010,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2011,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2012,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2013,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2014,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2015,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2016,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2017,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2018,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2019,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2020,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2021,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2022,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2023,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2024,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2025,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2026,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2027,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2028,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2029,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2030,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2031,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2032,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2033,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2034,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,OPEN_BURN,,,,2035,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2010,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2011,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2012,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2013,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2014,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2015,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2016,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2017,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2018,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2019,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2020,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2021,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2022,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2023,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2024,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2025,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2026,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2027,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2028,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2029,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2030,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2031,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2032,,,,,,
TotalTechnologyAnnualActivityUpperLimit,NDCincond,ECU,SIT_CLAN,,,,2033,,,,,,
