PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2010,,,,,,4.0672
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2011,,,,,,4.2162
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2012,,,,,,4.3482
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2013,,,,,,4.9634
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2014,,,,,,5.6248
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2015,,,,,,5.2972
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2016,,,,,,5.0569
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2017,,,,,,5.0416
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2018,,,,,,5.0421
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2019,,,,,,5.0625
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2020,,,,,,5.0826
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2021,,,,,,5.2141
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2022,,,,,,5.4172
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2023,,,,,,5.7307
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2024,,,,,,6.0498
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2025,,,,,,6.3742
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2026,,,,,,6.7037
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2027,,,,,,7.0384
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2028,,,,,,7.3781
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2029,,,,,,7.7229
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2030,,,,,,8.072
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2031,,,,,,8.2296
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2032,,,,,,8.3873
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2033,,,,,,8.545
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2034,,,,,,8.7027
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWTSW,,,2035,,,,,,8.8603
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2010,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2011,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2012,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2013,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2014,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2015,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2016,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2017,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2018,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2019,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2020,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2021,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2022,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2023,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2024,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2025,,,,,,0.0
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2026,,,,,,0.0125
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2027,,,,,,0.025
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2028,,,,,,0.0375
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2029,,,,,,0.0629
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2030,,,,,,0.0507
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2031,,,,,,0.0686
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2032,,,,,,0.0864
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2033,,,,,,0.1043
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2034,,,,,,0.1221
SpecifiedAnnualDemand,NDCcond,ECU,,E5TSWLANDFILL_ELEC,,,2035,,,,,,0.14
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2010,,,,,,0.3417
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2011,,,,,,0.3468
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2012,,,,,,0.3533
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2013,,,,,,0.359
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2014,,,,,,0.3648
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2015,,,,,,0.3705
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2016,,,,,,0.3762
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2017,,,,,,0.3818
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2018,,,,,,0.3874
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2019,,,,,,0.3928
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2020,,,,,,0.3985
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2021,,,,,,0.3991
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2022,,,,,,0.3874
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2023,,,,,,0.4178
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2024,,,,,,0.4491
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2025,,,,,,0.4473
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2026,,,,,,0.462
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2027,,,,,,0.5361
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2028,,,,,,0.5634
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2029,,,,,,0.5908
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2030,,,,,,0.6184
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2031,,,,,,0.6471
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2032,,,,,,0.6767
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2033,,,,,,0.7065
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2034,,,,,,0.7173
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_DC,,,2035,,,,,,0.7287
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2010,,,,,,0.086
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2011,,,,,,0.0874
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2012,,,,,,0.088
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2013,,,,,,0.0896
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2014,,,,,,0.0912
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2015,,,,,,0.0903
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2016,,,,,,0.0894
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2017,,,,,,0.0896
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2018,,,,,,0.0897
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2019,,,,,,0.0936
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2020,,,,,,0.0976
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2021,,,,,,0.097
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2022,,,,,,0.0925
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2023,,,,,,0.0998
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2024,,,,,,0.1072
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2025,,,,,,0.1068
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2026,,,,,,0.1104
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2027,,,,,,0.1279
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2028,,,,,,0.1345
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2029,,,,,,0.141
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2030,,,,,,0.1476
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2031,,,,,,0.1545
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2032,,,,,,0.1616
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2033,,,,,,0.1687
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2034,,,,,,0.1712
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWDWW_N,,,2035,,,,,,0.174
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWIWW,,,2010,,,,,,0.2194
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWIWW,,,2011,,,,,,0.4256
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWIWW,,,2012,,,,,,0.6318
SpecifiedAnnualDemand,NDCcond,ECU,,E5WWIWW,,,2013,,,,,,0.448
